data,ponto,manganes_total,turbidez,periodo,rompimento,ferro_dissolvido,intervalo
2012-01-17 10:30:00,RD071,1.6546,68.2,Chuvoso,Antes,0.1144,
2012-01-20 10:25:00,RD035,0.345,73.8,Chuvoso,Antes,0.457,2 days 23:55:00
2012-01-26 16:25:00,RD045,0.1099,21.4,Chuvoso,Antes,0.288,6 days 06:00:00
2012-01-29 17:55:00,RD067,0.0845,38.3,Chuvoso,Antes,0.225,3 days 01:30:00
2012-04-03 11:30:00,RD071,0.824,82.9,Estiagem,Antes,0.102,64 days 17:35:00
2012-04-06 11:20:00,RD035,,72.7,Estiagem,Antes,0.0553,2 days 23:50:00
2012-04-12 16:40:00,RD045,0.0846,43.2,Estiagem,Antes,0.2246,6 days 05:20:00
2012-04-15 18:20:00,RD067,,30.1,Estiagem,Antes,0.1786,3 days 01:40:00
2012-07-03 11:25:00,RD071,0.1027,9.1,Estiagem,Antes,0.1278,78 days 17:05:00
2012-07-06 13:10:00,RD035,0.0897,26.9,Estiagem,Antes,0.1145,3 days 01:45:00
2012-07-12 16:45:00,RD045,0.0363,13.7,Estiagem,Antes,0.1061,6 days 03:35:00
2012-07-15 18:30:00,RD067,0.0233,5.77,Estiagem,Antes,0.0978,3 days 01:45:00
2012-10-02 13:15:00,RD071,0.1233,9.5,Chuvoso,Antes,0.0796,78 days 18:45:00
2012-10-05 11:20:00,RD035,,11.9,Chuvoso,Antes,0.1398,2 days 22:05:00
2012-10-10 18:00:00,RD045,0.0161,7.08,Chuvoso,Antes,0.0873,5 days 06:40:00
2012-10-14 18:45:00,RD067,,10.7,Chuvoso,Antes,0.0529,4 days 00:45:00
2013-01-15 12:25:00,RD071,0.622,72.9,Chuvoso,Antes,0.251,92 days 17:40:00
2013-01-18 10:20:00,RD035,0.153,56.3,Chuvoso,Antes,0.1525,2 days 21:55:00
2013-01-23 16:30:00,RD045,0.144,233.0,Chuvoso,Antes,0.257,5 days 06:10:00
2013-01-27 17:00:00,RD067,0.0529,130.0,Chuvoso,Antes,0.333,4 days 00:30:00
2013-04-09 13:35:00,RD071,1.558,744.0,Estiagem,Antes,0.254,71 days 20:35:00
2013-04-12 11:20:00,RD035,,382.0,Estiagem,Antes,0.34,2 days 21:45:00
2013-04-18 17:50:00,RD045,0.0668,78.0,Estiagem,Antes,0.2001,6 days 06:30:00
2013-04-21 19:25:00,RD067,,62.7,Estiagem,Antes,0.1454,3 days 01:35:00
2013-06-18 18:30:00,RD035,,19.9,Estiagem,Antes,,57 days 23:05:00
2013-06-19 18:00:00,RD045,,15.3,Estiagem,Antes,,0 days 23:30:00
2013-06-20 17:30:00,RD067,,13.0,Estiagem,Antes,,0 days 23:30:00
2013-07-09 11:40:00,RD071,0.0432,5.23,Estiagem,Antes,0.1,18 days 18:10:00
2013-07-12 11:20:00,RD035,0.152,15.2,Estiagem,Antes,0.23,2 days 23:40:00
2013-07-18 17:50:00,RD045,0.0291,9.61,Estiagem,Antes,0.091,6 days 06:30:00
2013-07-21 18:30:00,RD067,0.012,7.02,Estiagem,Antes,0.0803,3 days 00:40:00
2013-08-27 16:30:00,RD035,,10.8,Estiagem,Antes,,36 days 22:00:00
2013-08-28 14:30:00,RD045,,6.49,Estiagem,Antes,,0 days 22:00:00
2013-08-29 16:40:00,RD067,,6.47,Estiagem,Antes,,1 days 02:10:00
2013-09-17 16:00:00,RD035,,12.5,Estiagem,Antes,,18 days 23:20:00
2013-09-18 16:00:00,RD045,,8.11,Estiagem,Antes,,1 days 00:00:00
2013-09-19 15:00:00,RD067,,5.12,Estiagem,Antes,,0 days 23:00:00
2013-10-01 13:10:00,RD071,0.171,41.7,Chuvoso,Antes,0.1671,11 days 22:10:00
2013-10-04 11:20:00,RD035,,7.14,Chuvoso,Antes,0.1295,2 days 22:10:00
2013-10-10 17:45:00,RD045,0.052,37.2,Chuvoso,Antes,0.1971,6 days 06:25:00
2013-10-13 18:20:00,RD067,,30.1,Chuvoso,Antes,0.1586,3 days 00:35:00
