time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_total_offside,statistics_hit_woodwork,statistics_punches,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_big_chance_created,statistics_big_chance_missed,statistics_error_lead_to_a_goal,statistics_penalty_won,statistics_penalty_miss,statistics_good_high_claim,statistics_penalty_conceded,statistics_penalty_save,statistics_penalty_shootout_goal,statistics_clearance_off_line,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_penalty_shootout_save,statistics_expected_goals,statistics_goals_prevented,statistics_expected_assists,statistics_penalty_shootout_miss,statistics_own_goals
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Cássio,12,G,FALSE,TRUE,33,26,14,7,2,NA,2,2,2,90,39,7.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Fagner,23,D,FALSE,NA,46,35,6,1,5,1,NA,NA,NA,90,76,8.6,19,7,3,NA,3,2,1,2,3,3,2,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Jemerson,3,D,FALSE,NA,43,32,10,4,5,NA,NA,NA,NA,90,50,7.2,11,NA,NA,3,6,1,1,4,3,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Gil,4,D,FALSE,NA,52,45,4,NA,3,4,NA,NA,NA,90,58,7,7,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Fábio Santos,26,D,FALSE,NA,56,53,1,NA,4,2,2,NA,NA,90,77,7.4,3,1,1,1,1,NA,NA,2,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Victor Cantillo,24,M,FALSE,NA,60,51,6,3,4,1,1,NA,NA,70,69,7.2,10,NA,NA,1,4,1,NA,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Gabriel Girotto,5,M,FALSE,NA,56,53,1,1,5,NA,NA,NA,NA,90,76,7.6,8,1,NA,1,6,NA,NA,6,4,2,NA,NA,5,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Gustavo Silva,19,M,FALSE,NA,24,22,NA,NA,6,NA,4,NA,NA,70,44,7.4,11,2,NA,NA,1,3,2,NA,NA,3,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Juan Cazares,10,M,FALSE,NA,47,38,1,1,1,NA,NA,NA,NA,81,56,7.8,12,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Mateus Vital,22,M,FALSE,NA,36,33,2,1,8,NA,1,NA,NA,70,57,7.5,11,2,1,3,10,4,4,NA,1,NA,1,2,2,1,NA,4,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Jô,77,F,FALSE,NA,27,23,1,1,5,NA,2,NA,NA,81,36,7.6,8,NA,NA,1,4,NA,NA,NA,2,3,2,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Guilherme Camacho,20,M,TRUE,NA,18,16,2,1,NA,NA,NA,NA,NA,20,22,7.3,2,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Gabriel Pereira,38,M,TRUE,NA,3,2,NA,NA,1,NA,1,NA,NA,20,8,6.7,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Léo Natel,18,M,TRUE,NA,6,5,1,1,NA,NA,NA,NA,NA,20,12,6.6,4,NA,NA,2,4,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Everaldo,37,M,TRUE,NA,5,4,NA,NA,NA,NA,NA,NA,NA,9,8,6.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Luan,7,M,TRUE,NA,10,7,NA,NA,NA,NA,NA,NA,NA,9,13,7.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Walter,27,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Marllon,25,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Bruno Méndez,14,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Michel Macedo,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Raul Gustavo,34,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Xavier,39,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,1,home,Corinthians,Fluminense,Neo Química Arena,Brasileirão Série A,5,0,Ramón Díaz,Mano Menezes,Ángelo Araos,21,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Cássio,12,G,FALSE,TRUE,28,17,20,9,NA,3,NA,2,4,90,39,6.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Fagner,23,D,FALSE,NA,32,25,5,4,3,3,1,NA,NA,90,65,7.3,16,10,4,1,2,NA,NA,NA,1,4,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Jemerson,3,D,FALSE,NA,33,29,2,1,2,4,NA,NA,NA,90,46,6.3,6,NA,NA,1,3,NA,NA,2,2,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Gil,4,D,FALSE,NA,21,15,1,NA,5,1,NA,NA,NA,90,28,6.7,6,NA,NA,1,2,NA,NA,3,1,1,5,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Fábio Santos,26,D,FALSE,NA,30,25,1,NA,2,2,NA,NA,NA,90,53,6,8,1,1,1,2,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Victor Cantillo,24,M,FALSE,NA,19,14,NA,NA,5,NA,2,NA,NA,45,28,6.6,6,NA,NA,NA,2,2,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Gabriel Girotto,5,M,FALSE,NA,39,33,1,1,4,1,1,NA,NA,77,47,5.4,7,NA,NA,1,5,1,1,NA,1,NA,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Gustavo Silva,19,M,FALSE,NA,20,14,2,NA,3,NA,2,NA,NA,71,32,6.1,13,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Juan Cazares,10,M,FALSE,NA,32,27,4,4,2,NA,1,NA,NA,71,45,6.5,14,4,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Mateus Vital,22,M,FALSE,NA,5,3,NA,NA,2,NA,2,NA,NA,45,15,6.4,7,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corinthians,2021,2,away,Palmeiras,Corinthians,Allianz Parque,Brasileirão Série A,4,0,Abel Ferreira,Ramón Díaz,Jô,77,F,FALSE,NA,26,20,NA,NA,7,1,4,NA,NA,90,37,6.8,8,NA,NA,3,5,NA,NA,NA,NA,1,3,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
