time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_big_chance_created,statistics_good_high_claim,statistics_big_chance_missed,home_manager,statistics_accurate_cross,statistics_blocked_scoring_attempt,statistics_total_offside,statistics_penalty_conceded,statistics_penalty_save,statistics_error_lead_to_a_shot,statistics_penalty_won,statistics_hit_woodwork,statistics_punches,statistics_penalty_miss,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_last_man_tackle,statistics_error_lead_to_a_goal,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_clearance_off_line,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Diego Alves,1,G,FALSE,NA,29,14,28,13,NA,NA,NA,4,8,90,43,9.3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Pará,21,D,FALSE,NA,32,25,3,NA,3,5,2,NA,NA,90,55,6.8,14,2,1,4,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Léo Duarte,30,D,FALSE,NA,11,6,6,2,1,7,1,NA,NA,90,22,7,5,NA,1,3,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Rodrigo Caio,3,D,FALSE,NA,17,14,3,3,3,9,NA,NA,NA,90,34,7.7,3,NA,3,4,NA,NA,1,2,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Renê,6,D,FALSE,NA,43,32,6,2,5,3,5,NA,NA,90,71,7.4,16,NA,1,6,NA,NA,2,1,2,NA,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Willian Arão,5,M,FALSE,NA,38,33,1,1,9,4,NA,NA,NA,90,55,7.6,6,NA,2,5,1,NA,2,NA,2,4,2,5,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Gustavo Cuéllar,8,M,FALSE,NA,41,35,3,2,7,2,1,NA,NA,90,59,6.6,10,NA,1,6,5,3,1,NA,NA,1,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Giorgian De Arrascaeta,14,M,FALSE,NA,17,14,1,NA,4,NA,1,NA,NA,45,27,7,8,4,NA,1,3,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Diego,10,M,FALSE,TRUE,32,29,2,2,4,NA,1,NA,NA,85,41,6.6,7,NA,NA,2,2,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Bruno Henrique,27,M,FALSE,NA,25,17,NA,NA,16,2,2,NA,NA,77,43,7.8,12,2,4,7,4,3,NA,1,2,7,1,4,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Gabriel Barbosa,9,F,FALSE,NA,24,20,NA,NA,3,NA,1,NA,NA,90,33,7.5,8,1,1,2,1,1,NA,NA,1,1,NA,NA,NA,1,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Everton Ribeiro,7,M,TRUE,NA,27,22,1,NA,4,NA,1,NA,NA,45,38,7.1,7,1,NA,2,1,NA,1,NA,1,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,11,away,CD San José,Flamengo,Estadio Jesús Bermúdez,"Copa Libertadores, Group D",0,1,Filipe Luis,Vitinho,11,M,TRUE,NA,5,3,NA,NA,3,NA,1,NA,NA,13,11,6.6,3,NA,1,2,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
