time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_good_high_claim,statistics_error_lead_to_a_shot,statistics_big_chance_missed,statistics_hit_woodwork,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_blocked_scoring_attempt,statistics_saved_shots_from_inside_the_box,statistics_penalty_won,statistics_penalty_conceded,statistics_clearance_off_line,player_captain,statistics_punches,statistics_goals_prevented,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_error_lead_to_a_goal,statistics_last_man_tackle,statistics_penalty_miss
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,João Ricardo,1,G,FALSE,14,14,2,2,0,0,0,2,90,16,7,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Tinga,2,D,FALSE,47,35,4,1,9,1,0,NA,90,55,7.1,14,5,1,1,8,0,0,3,3,1,8,3,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Emanuel Brítez,19,D,FALSE,62,59,6,3,4,1,1,NA,90,72,7.6,3,0,0,2,5,1,1,NA,0,NA,1,0,0,2,NA,0,0,1,NA,NA,0,NA,0,NA,0,NA,NA,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Titi,4,D,FALSE,66,61,4,2,7,0,1,NA,90,77,7.3,5,0,0,3,5,0,0,NA,1,1,1,0,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Gonzalo Escobar,33,D,FALSE,51,41,5,1,5,1,0,NA,90,67,7,12,4,0,1,12,2,1,4,1,NA,1,3,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,NA,NA,0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Tomás Pochettino,7,M,FALSE,102,94,7,4,12,2,1,NA,90,124,8.1,7,5,1,1,11,3,3,2,1,2,1,4,2,0,NA,0,0,3,NA,NA,0,NA,0,NA,0,NA,NA,0,0.06,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Lucas Sasha,88,M,FALSE,34,34,1,1,4,1,1,NA,51,42,6.8,2,0,0,0,12,0,0,1,1,NA,1,4,1,0,NA,0,0,0,NA,NA,0,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Marinho,11,M,FALSE,29,23,0,0,6,0,2,NA,65,44,7.6,8,4,1,3,11,4,3,1,0,2,0,1,1,0,1,1,0,1,NA,NA,0,NA,0,NA,0,NA,NA,0,0.08,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Calebe,10,M,FALSE,39,32,3,2,7,0,1,NA,84,48,7.3,9,1,0,2,6,3,2,NA,0,NA,0,0,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,NA,NA,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Moisés,21,M,FALSE,23,21,1,1,8,0,0,NA,65,47,7.5,6,1,0,0,7,12,8,1,0,1,0,1,0,0,NA,1,0,2,NA,NA,0,NA,0,NA,0,NA,NA,0,0.41,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza,2024,1,home,Fortaleza,Horizonte FC,Estádio Castelão,"Cearense, Série A",2,0,Juan Pablo Vojvoda,Filinto Antônio Teixeira Holanda,Juan Martín Lucero,9,F,FALSE,20,12,0,0,4,0,0,NA,84,33,7.1,5,4,0,1,7,3,3,NA,1,1,0,0,0,0,1,1,0,3,NA,NA,0,NA,1,NA,0,1,1,0,0.77,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
