time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_good_high_claim,statistics_error_lead_to_a_shot,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_blocked_scoring_attempt,statistics_big_chance_missed,statistics_hit_woodwork,statistics_penalty_miss,statistics_penalty_conceded,statistics_penalty_won,statistics_punches,statistics_goals_prevented,statistics_last_man_tackle,statistics_clearance_off_line,statistics_error_lead_to_a_goal,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_penalty_save
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Brenno,1,G,FALSE,NA,17,15,9,7,1,1,0,1,4,90,21,7.2,5,0,0,0,1,0,0,1,0,NA,1,1,0,0,NA,0,0,NA,3,0,0,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Fábio,2,D,FALSE,NA,37,33,2,1,3,2,0,NA,NA,90,42,6.9,6,2,1,1,5,0,0,1,0,1,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Bruno Alves,34,D,FALSE,NA,39,33,2,1,3,3,1,NA,NA,90,45,6.5,4,0,0,3,10,0,0,NA,1,NA,0,2,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Walter Kannemann,4,D,FALSE,TRUE,54,45,8,3,6,2,0,NA,NA,90,63,6.7,11,0,0,3,11,0,0,2,6,NA,4,2,0,1,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Reinaldo,22,D,FALSE,NA,34,27,2,1,3,1,1,NA,NA,69,44,6.9,9,2,1,0,3,0,0,2,2,1,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Jaminton Campaz,7,M,FALSE,NA,25,20,1,1,2,1,1,NA,NA,69,37,6.8,8,3,1,5,11,1,1,NA,1,NA,0,1,0,0,NA,0,0,1,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Felipe Carballo,8,M,FALSE,NA,40,37,5,3,1,0,0,NA,NA,69,47,6.5,4,0,0,0,8,0,0,NA,2,NA,0,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Pepê,23,M,FALSE,NA,51,45,4,2,8,1,3,NA,NA,90,64,7.3,10,0,0,2,9,3,1,1,1,NA,1,2,2,1,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Ferreira,10,M,FALSE,NA,42,32,1,0,9,1,3,NA,NA,84,67,8.2,13,2,0,1,10,10,6,1,1,2,1,0,0,0,1,1,0,1,NA,NA,0,NA,0,NA,0,0,0.04,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Bitello,39,M,FALSE,NA,49,39,1,1,5,1,2,NA,NA,90,62,8.5,15,3,1,2,9,4,4,NA,0,1,0,0,0,0,NA,2,1,2,NA,NA,0,NA,0,NA,0,0,0.9,0.02,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Luis Suárez,9,F,FALSE,NA,18,13,1,1,3,0,0,NA,NA,84,29,7.7,9,1,1,0,4,2,1,1,1,1,2,0,0,0,1,2,1,NA,NA,NA,0,NA,0,NA,0,0,0.31,0.02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Diogo Barbosa,6,D,TRUE,NA,20,15,2,0,0,0,0,NA,NA,26,24,6.6,5,1,0,0,3,0,0,NA,0,NA,0,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Gustavinho,17,M,TRUE,NA,10,10,0,0,0,0,0,NA,NA,26,16,6.4,6,0,0,1,5,0,0,NA,0,1,0,1,0,0,1,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Everton Galdino,13,M,TRUE,NA,5,5,0,0,1,0,0,NA,NA,26,10,6.6,1,0,0,0,1,1,1,NA,0,NA,0,0,0,0,NA,1,0,1,NA,NA,0,NA,0,NA,0,0,0.77,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Thiago Santos,5,M,TRUE,NA,1,1,0,0,0,0,0,NA,NA,11,1,6.3,1,0,0,3,5,0,0,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Thaciano,28,M,TRUE,NA,3,3,0,0,1,0,0,NA,NA,11,6,6.7,0,0,0,1,4,1,1,NA,2,NA,0,0,0,0,NA,1,0,NA,NA,NA,0,NA,0,NA,0,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grêmio,2023,2,away,Caxias,Grêmio,Estádio Centenário,Gaúcho,1,2,Roberto  Maschio Junior,Renato Portaluppi,Gabriel Grando,12,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
