time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_punches,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_saved_shots_from_inside_the_box,statistics_big_chance_missed,statistics_penalty_won,statistics_good_high_claim,statistics_hit_woodwork,statistics_penalty_conceded,statistics_penalty_save,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_penalty_miss,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_clearance_off_line,statistics_own_goals,statistics_error_lead_to_a_goal,statistics_expected_goals,statistics_goals_prevented,statistics_expected_assists
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Weverton,21,G,FALSE,NA,19,9,15,5,NA,3,NA,2,90,30,6.7,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Mayke,12,D,FALSE,NA,63,57,5,3,1,4,NA,NA,90,84,7.1,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Luan Garcia,13,D,FALSE,NA,55,39,15,4,4,3,1,NA,90,64,6.5,16,NA,NA,2,5,1,1,1,2,NA,2,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Gustavo Gómez,15,D,FALSE,NA,40,38,3,2,NA,6,NA,NA,90,50,6.7,2,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Diogo Barbosa,6,D,FALSE,NA,37,30,6,2,4,3,2,NA,90,61,6.7,9,2,NA,2,5,1,1,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Thiago Santos,5,M,FALSE,NA,49,43,2,2,2,1,NA,NA,90,55,6.6,6,NA,NA,NA,5,NA,NA,1,2,NA,2,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Felipe Melo,30,M,FALSE,TRUE,29,24,4,3,3,2,NA,NA,45,37,6.7,6,NA,NA,NA,2,1,1,1,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Gustavo Scarpa,14,M,FALSE,NA,20,15,1,NA,4,1,4,NA,45,31,7.2,8,2,1,1,2,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Lucas Lima,20,M,FALSE,NA,54,41,6,3,6,NA,4,NA,90,71,7,18,2,NA,NA,3,NA,NA,NA,1,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Dudu,7,M,FALSE,NA,25,21,3,2,7,NA,3,NA,90,54,6.8,19,10,3,1,10,7,4,NA,2,4,NA,3,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Miguel Borja,9,F,FALSE,NA,7,3,NA,NA,4,NA,2,NA,68,17,7,9,NA,NA,3,6,1,NA,NA,1,NA,2,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Felipe Pires,27,M,TRUE,NA,15,12,NA,NA,3,NA,2,NA,45,25,6.6,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Bruno Henrique,19,M,TRUE,NA,48,45,2,1,NA,1,NA,NA,45,53,6.7,5,NA,NA,1,3,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Deyverson,16,F,TRUE,NA,1,1,NA,NA,3,1,1,NA,22,7,6.7,2,NA,NA,1,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Fernando Prass,1,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Jailson,42,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Marcos Rocha,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Antônio Carlos,25,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Victor Luis,26,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Zé Rafael,8,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,1,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1,1,Helio Chicchinato Junior,Abel Ferreira,Yan Matheus,40,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Fernando Prass,1,G,FALSE,NA,19,12,12,5,NA,1,NA,4,90,27,7.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmeiras,2019,2,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1,0,Abel Ferreira,Paulo Gomes,Marcos Rocha,2,D,FALSE,NA,62,53,9,4,3,2,NA,NA,90,91,7.2,17,2,1,NA,4,2,1,1,2,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
