time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_total_offside,statistics_good_high_claim,home_manager,statistics_goals,statistics_punches,statistics_penalty_won,statistics_penalty_miss,statistics_big_chance_created,statistics_big_chance_missed,statistics_goal_assist,statistics_hit_woodwork,statistics_error_lead_to_a_goal,statistics_penalty_conceded,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_own_goals,statistics_error_lead_to_a_shot,statistics_clearance_off_line,statistics_penalty_shootout_save,statistics_last_man_tackle,statistics_penalty_save,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Sidão,12,G,FALSE,NA,22,17,6,2,1,NA,NA,2,3,90,34,6.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Bruno,2,D,FALSE,NA,27,19,1,1,4,4,1,NA,NA,90,52,6.5,13,1,NA,3,7,3,1,3,2,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Rony Fernandes,37,D,FALSE,NA,86,72,11,3,4,2,NA,NA,NA,90,92,6.4,15,1,NA,2,6,NA,NA,NA,5,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Aderllan Santos,32,D,FALSE,NA,87,82,10,7,4,7,NA,NA,NA,90,98,6.9,5,NA,NA,2,3,1,1,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Reinaldo,14,D,FALSE,NA,52,47,8,8,8,1,1,NA,NA,90,84,7,17,6,NA,NA,4,1,1,NA,1,1,3,NA,3,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Pedro Augusto,39,M,FALSE,NA,56,50,2,1,2,2,2,NA,NA,90,65,6.3,8,1,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Maicosuel,7,M,FALSE,NA,14,11,3,3,2,NA,NA,NA,NA,78,26,6.6,8,2,2,4,8,3,2,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Felipe Araruna,28,M,FALSE,TRUE,20,15,NA,NA,3,1,2,NA,NA,78,29,6.5,9,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Paulo Henrique,35,M,FALSE,NA,36,34,2,1,12,1,3,NA,NA,90,55,7.3,7,1,NA,1,5,5,4,1,2,2,1,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Junior Tavares,22,M,FALSE,NA,27,20,3,2,4,NA,2,NA,NA,67,41,6.3,17,4,NA,1,6,2,NA,NA,1,NA,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
